,index,0
227,boutique,6
228,resist,4
229,stunning,94
230,coral,2
231,wrap,14
232,dress,11
233,cyro,1
234,wardrobe,1
235,great,1315
236,value,31
237,snip,1
238,fashion,65
239,style,56
240,sunday,470
241,stylesunday,1
242,sharing,12
243,image,84
244,wonderful,190
245,architecture,16
246,interior,2
247,light,117
248,natasha,1
249,theinteriorsnrd,1
250,patrick,118
251,virtual,20
252,tour,181
253,date,127
254,timezone,3
255,europe,35
256,visitwestlimerick,6
257,howlimerick,11
258,daysofwalke,181
259,space,444
260,ardpatrick,18
261,goinggold,3
262,glorious,22
263,beauitful,1
264,spot,141
265,wandering,1
266,show,101
267,midwestbridalexhibition,3
268,aislingmaher,1
269,loveireland,47
270,photo,379
271,forgot,4
272,woodlandshouse,37
273,limericksfoodcapital,1
274,good,844
275,luck,232
276,looks,1
277,anaze,1
278,family,363
279,vacation,11
280,delay,243
281,hope,130
282,like,335
283,chefwademurphy,4
284,kerry,137
285,cavan,6
286,thejenntracker,1
287,trackerwedde,1
288,maidykruss,1
289,suit,12
290,speaker,52
291,twitter,32
292,sign,107
293,awhile,1
294,caroline,6
295,hrsuite,1
296,aaroadwatch,67
297,heavy,60
298,tailback,2
299,bypass,3
300,badly,10
301,dunravenarm,12
302,localexpert,10
303,know,208
304,fancy,48
305,glass,15
306,drop,106
307,jeering,1
308,laugh,9
309,fancyjoint,1
310,training,75
311,menshealthweek,3
312,fairy,13
313,waiting,20
314,painting,26
315,ahane,16
316,hurl,1298
317,godless,1
318,bastard,1
319,fine,224
320,sure,78
321,isdhtweet,3
322,forward,195
323,conference,44
324,tomorrow,598
325,nibble,1
326,love,418
327,flurry,1
328,snow,101
329,tatchedcottage,1
330,afternoon,134
331,sunshine,207
332,woodland,41
333,ourladysabbey,4
334,force,57
335,search,22
336,underwater,2
337,activity,55
338,visitlimerick,13
339,night,345
340,fashionshow,7
341,knitwear,7
342,irishdesign,7
343,strike,25
344,piece,49
345,kays,1
346,isobeladare,1
347,higginsheidi,1
348,embarrassed,1
349,state,28
350,traffic,227
351,especially,51
352,visitor,51
353,tourist,25
354,castletroy,462
355,mexpress,1
356,long,136
357,wait,135
358,mute,3
359,workshop,56
360,dentistry,1
361,peek,4
362,bombergriff,1
363,limerickclg,186
364,luimneachabu,45
365,cold,26
366,pace,8
367,quick,49
368,cllr,45
369,adam,10
370,teskey,2
371,elect,24
372,rathkeale,126
373,localelection,4
374,live,352
375,hold,100
376,south,106
377,approach,25
378,quarterfinal,2
379,cmon,8
380,alert,33
381,report,286
382,chaos,7
383,city,2191
384,thunder,3
385,lightning,7
386,thankfully,8
387,lose,943
388,power,45
389,taylor,41
390,fight,48
391,boxing,15
392,giveblood,33
393,evening,458
394,help,220
395,save,96
396,dancing,10
397,crossroad,3
398,mountearl,1
399,sunnystroll,1
400,spre,1
401,outside,129
402,dental,2
403,trade,14
404,stephen,15
405,keary,3
406,gael,12
407,fill,59
408,seat,47
409,limerickcount,1
410,office,76
411,weddingplanning,1
412,brideandgroom,1
413,luxuryweddingplanner,2
414,plenty,26
415,retail,195
416,therapy,1
417,golf,52
418,rydercup,10
419,collins,21
420,rtearchive,3
421,onthisday,8
422,leader,326
423,thetweetystone,46
424,hallspictorialweekly,1
425,outdoordine,8
426,backyard,3
427,hooley,1
428,revasspa,2
429,stillfloate,1
430,unconfirmed,1
431,sighting,2
432,fabulous,81
433,etoadare,1
434,wish,104
435,ahanegaaclub,4
436,quarter,49
437,replay,6
438,showcasing,2
439,midwest,19
440,bridal,2
441,exhibition,56
442,friday,228
443,lucky,63
444,naturesplus,1
445,sourceoflifegold,1
446,health,114
447,perfect,77
448,gift,492
449,christmas,557
450,adarevillage,24
451,brave,30
452,blessedarethouamongstwoman,2
453,nwbd,1
454,leocountykerry,2
455,leocountyclare,5
456,leonard,38
457,useful,2
458,pour,30
459,floor,26
460,section,13
461,samcofilm,1
462,expansion,10
463,meet,151
464,brian,28
465,costello,4
466,butcher,2
467,john,211
468,spread,42
469,word,48
470,competition,50
471,meteorite,1
472,huge,132
473,congratulation,64
474,wade,2
475,elaine,6
476,fantastic,200
477,achievement,8
478,proud,111
479,realise,11
480,pathetic,3
481,supporter,78
482,clapping,1
483,intercounty,1
484,player,30
485,postcard,10
486,guest,31
487,enjoy,357
488,stay,116
489,happy,163
490,customer,35
491,find,320
492,beauty,110
493,neighbour,22
494,fence,10
495,henry,34
496,morgan,2
497,wanders,1
498,commission,4
499,work,299
500,draíocht,2
501,rugby,340
502,memo,1
503,bruff,79
504,theploughing,1
505,ploughing,1
506,trevor,2
507,mount,20
508,earl,5
509,patrickswell,38
510,rincón,1
511,goodbyesummer,1
512,felizdomingo,1
513,kilmallock,199
514,piarsaigh,75
515,action,195
516,gaelic,46
517,ground,111
518,tonight,313
519,braveman,1
520,eamonryan,4
521,inspirecoachie,1
522,officeassist,1
523,ncbanetwork,1
524,spildotie,1
525,couple,27
526,random,17
527,memory,144
528,maumturks,1
529,cliffsofmoher,3
530,dinglepeninsula,1
531,oakappleadare,3
532,incredible,43
533,food,211
534,wine,37
535,ambience,1
536,magical,13
537,discover,76
538,dublin,536
539,promo,6
540,zero,9
541,mention,14
542,different,76
543,halloween,23
544,feilenamaighe,1
545,festival,210
546,start,394
547,octth,1
548,ambassador,3
549,prepare,31
550,foodietown,1
551,delicious,11
552,dining,42
553,experience,107
554,tasteadare,2
555,field,66
556,appeal,34
557,draw,53
558,hall,132
559,teamadare,1
560,cover,50
561,equestrian,2
562,area,427
563,advancement,2
564,competitions,2
565,clonshire,2
566,soireland,22
567,munsterso,2
568,aislingmdesign,1
569,occasion,9
570,irishfashionhr,1
571,stylecloset,1
572,dunraven,9
573,cozy,2
574,wedding,47
575,limerickweddingphotographer,1
576,launch,224
577,salesiancollege,1
578,fionaglamour,1
579,glamouragency,1
580,woodlandshotel,5
581,sleepless,1
582,seattle,1
583,speechless,1
584,sneak,10
585,preview,26
586,extraordinary,7
587,premier,77
588,mungret,449
589,paul,62
590,dinner,27
591,familydinner,1
592,firstforawhile,1
593,supportlocal,17
594,limerickabù,1
595,limerickandproud,188
596,fitzycon,1
597,aislinncon,1
598,winner,134
599,rtenews,10
600,artistaward,1
601,culturenight,111
602,system,49
603,royalwedde,1
604,week,364
605,away,121
606,destinationwedding,1
607,woman,99
608,networker,1
609,maybe,26
610,meninbusiness,1
611,itisalonelyplace,1
612,nwedadare,1
613,carlowleo,1
614,leocorkcity,1
615,lovely,360
616,sunny,88
617,stroll,63
618,filter,55
619,godmother,2
620,cousin,7
621,nevilles,1
622,goatsforlife,1
623,donthavecovid,1
624,voting,5
625,child,168
626,collect,84
627,water,304
628,nlireland,7
629,awesome,15
630,pinkbale,1
631,wrapitinpink,1
632,real,49
633,cool,45
634,initiative,66
635,irishcancersoc,3
636,laura,2
637,grab,16
638,boot,8
639,burton,2
640,menswear,1
641,shoe,14
642,lloydandpryce,1
643,minute,114
644,vegan,10
645,cupcake,7
646,happyfoodathome,2
647,limetreetheatre,25
648,milk,32
649,saturday,451
650,fail,9
651,impress,11
652,meal,10
653,opponent,3
654,drom,5
655,broadford,24
656,minutes,1
657,gayemoore,9
658,merchandising,1
659,voke,1
660,limerickhour,201
661,horse,70
662,certainly,12
663,carriage,1
664,buggy,23
665,springtime,9
666,claughaun,1
667,update,101
668,landmark,10
669,othervoiceslive,2
670,stop,365
671,homemade,5
672,burger,17
673,othervoice,8
674,luimneach,36
675,geraldine,2
676,aherne,2
677,cathal,10
678,scanlon,7
679,limerickgaa,30
680,julie,2
681,collin,7
682,award,109
683,bloom,96
684,hard,41
685,rain,148
686,breeze,23
687,knockainey,14
688,riverbank,28
689,walk,1028
690,maigue,14
691,limerickolympictrail,1
692,nialloshaughnessy,1
693,blackabbeycraft,1
694,adarevillageloop,1
695,travel,281
696,croom,158
697,motorway,14
698,divert,3
699,road,709
700,close,272
701,livefmnew,26
702,machine,11
703,dispatch,2
704,japan,2
705,load,31
706,january,75
707,globalambition,2
708,irishadvantage,3
709,samcosystem,1
710,crumb,1
711,patiently,2
712,thedunraven,1
713,christmasinlimerick,36
714,addition,34
715,menu,13
716,serve,42
717,outdoording,1
718,fortfood,1
719,prize,24
720,pharmacy,3
721,virtuoso,1
722,legend,97
723,derek,3
724,hickey,4
725,join,301
726,byrne,15
727,cooney,2
728,hutchinson,1
729,belltable,4
730,plan,201
731,bank,214
732,holiday,360
733,bankholiday,4
734,spaday,2
735,pamper,54
736,massage,5
737,facial,1
738,sauna,1
739,metime,2
740,insatiable,1
741,appetite,4
742,hire,49
743,trainee,1
744,accountant,1
745,vacancy,12
746,include,274
747,charteredaccirl,1
748,jaclyn,1
749,hargreaves,1
750,artist,117
751,napgaa,50
752,newcastlewestwalk,3
753,employee,6
754,brunch,3
755,weekendbrunch,1
756,sundaybrunch,1
757,oakandapplesundaybrunch,1
758,bialuimní,3
759,makethatbooke,1
760,pfoley,22
761,jamesjcollins,30
762,boss,21
763,jpmcmanus,1
764,fund,75
765,case,27
766,incinerate,1
767,toxic,3
768,waste,15
769,neville,142
770,restaurant,52
771,kilfinny,2
772,atmosphere,139
773,crew,70
774,mountearlcross,1
775,munityspirit,8
776,draiochtadare,1
777,craft,83
778,lucy,2
779,erridge,2
780,proudly,24
781,successful,10
782,share,92
783,website,49
784,adareselfcatere,1
785,golfer,1
786,give,77
787,thumb,1
788,adaregc,3
789,ryder,4
790,credential,1
791,skysportsgolf,1
792,llsport,289
793,latest,1
794,conclude,1
795,marissacarter,1
796,speak,47
797,journey,60
798,cocoabrowntan,1
799,organize,3
800,enterprise,43
801,mary,287
802,liston,2
803,spring,262
804,browse,36
805,artexhibition,14
806,handfelte,1
807,tony,15
808,meighan,1
809,pippalittle,2
810,limerickart,71
811,month,88
812,positive,68
813,well,141
814,oakandappleadare,3
815,makeabooke,1
816,seeyousoon,1
817,limerickrose,11
818,sinéad,4
819,roseoftralee,16
820,feel,75
821,romantic,6
822,valentine,11
823,excuse,41
824,originalirishhotels,1
825,valentinesatwoodland,1
826,mins,8
827,connor,23
828,weeks,1
829,biasó,1
830,takeaway,9
831,dinnerbox,1
832,stairnahireann,1
833,blog,55
834,lucyerridgeart,1
835,philip,2
836,crampton,1
837,bear,32
838,june,169
839,march,227
840,impressive,18
841,bring,204
842,name,39
843,tourism,85
844,list,99
845,reflexology,3
846,reiki,3
847,book,187
848,justbe,10
849,relax,54
850,raise,56
851,proam,1
852,happen,96
853,charity,137
854,fundraising,15
855,savetheth,1
856,poster,20
857,tear,22
858,people,2217
859,oppose,10
860,voteno,1
861,campaign,53
862,undemocratic,1
863,repeal,3
864,atleast,3
865,chawke,2
866,chawkepubadare,1
867,refurbishment,3
868,courthouse,3
869,incorporate,6
870,story,152
871,deric,112
872,virginmedianew,10
873,beautifuladare,1
874,lunch,70
875,castle,483
876,river,1131
877,campsite,10
878,locate,76
879,near,310
880,caravan,28
881,curraghchase,244
882,camping,28
883,standing,8
884,round,73
885,outstanding,3
886,coffee,330
887,shop,125
888,worth,121
889,stacpoole,1
890,coffeehouse,1
891,antique,1
892,frame,15
893,allinone,1
894,shiny,5
895,logo,7
896,adaremanorhotel,1
897,adarestaurant,1
898,adarewalk,2
899,adareireland,1
900,adaretrinitarianabbey,1
901,desmondcastleadare,1
902,adaremanorgolfclub,1
903,adareheritagecentre,2
904,quay,1284
905,newcastlewest,37
906,elainafitzkane,1
907,leovaradkar,8
908,cmoireland,4
909,logic,1
910,answer,18
911,september,61
912,michaelmartin,1
913,barbara,5
914,bingham,1
915,staff,61
916,manorhousehtls,1
917,weekendbreak,2
918,travelireland,4
919,irelandsnicestvillage,1
920,manorhousehotel,1
921,forget,69
922,parade,128
923,strong,51
924,mohair,1
925,design,79
926,hand,77
927,decorate,6
928,appliquéd,1
929,fabric,3
930,unique,37
931,wearable,1
932,luxuryknitwear,1
933,kidmohair,1
934,shopping,167
935,complimentary,8
936,discount,9
937,christmasshopping,1
938,smallbusinesssaturday,1
939,lucyerridge,2
940,giftsforchristma,1
941,dessert,10
942,baked,3
943,basque,1
944,cheesecake,1
945,cook,9
946,order,48
947,alicia,2
948,kill,26
949,pastry,3
950,moment,614
951,fellow,10
952,councilor,1
953,annblake,6
954,cassey,1
955,mayor,126
956,ball,49
957,theatre,34
958,roast,4
959,beef,5
960,world,237
961,thanks,94
962,hugh,3
963,service,135
964,class,64
965,mccoy,2
966,ranidabrai,1
967,danielpriestley,1
968,oversubscribed,1
969,psauk,1
970,psaireland,1
971,member,45
972,moirageary,2
973,superstore,1
974,munster,625
975,league,211
976,debut,12
977,ronan,8
978,connolly,8
979,door,26
980,kitchen,12
981,thomond,1384
982,tradition,8
983,jump,14
984,stepladder,1
985,wall,53
986,primary,14
987,school,169
988,present,57
989,kindness,4
990,girl,38
991,question,21
992,eventsprof,2
993,location,199
994,delegate,1
995,incentive,4
996,retreat,4
997,choose,40
998,failte,154
999,makeitireland,6
1000,makeitshannon,6
1001,unbelievable,23
1002,shiversniall,1
1003,glad,20
1004,likely,15
1005,huffed,1
1006,rest,69
1007,hole,4
1008,staycation,34
1009,lsadatlit,7
1010,confer,2
1011,photography,189
1012,lens,9
1013,medium,25
1014,graduate,6
1015,becca,2
1016,conway,7
1017,gabrielle,1
1018,drimalovskyte,1
1019,boochsf,1
1020,delilahshine,1
1021,missyou,1
1022,seabreeze,1
1023,race,139
1024,morningwood,1
1025,sammy,8
1026,spazy,1
1027,boogle,1
1028,bulmer,1
1029,cigarettesforthepriceof,1
1030,welovejake,1
1031,nobrownbooze,1
1032,alwaysbrownbooze,1
1033,tgtv,16
1034,conjunction,2
1035,production,5
1036,talented,8
1037,series,46
1038,réalta,1
1039,agus,1
1040,gaolta,1
1041,whistle,20
1042,flew,1
1043,cork,718
1044,route,93
1045,loveirishfood,1
1046,eurotoquesireland,1
1047,chefsdayoff,1
1048,aerlingus,2
1049,flycork,1
1050,michael,60
1051,keane,10
1052,minor,66
1053,captain,27
1054,neill,8
1055,crecora,4
1056,manister,1
1057,vice,6
1058,crecoragaa,1
1059,offer,112
1060,ballingarry,5
1061,historicaltoursscotland,1
1062,waleshistoricaltour,1
1063,historicaltoursengland,1
1064,soon,56
1065,estuaryway,5
1066,limerickenviron,245
1067,adaretownpark,4
1068,pollinatorplan,8
1069,biodatacentre,34
1070,rivermaigue,22
1071,limerickmatter,24
1072,shannonestuaryway,32
1073,greyhound,27
1074,gather,95
1075,global,13
1076,producer,12
1077,themilkmarket,14
1078,organic,12
1079,summer,261
1080,fielding,2
1081,poloconghaile,31
1082,indo,22
1083,indoweekend,5
1084,kingjohnscastle,112
1085,nevsail,12
1086,huntmuseum,44
1087,shannon,1684
1088,king,166
1089,johns,13
1090,cathedral,4
1091,winter,139
1092,exhibit,7
1093,feature,77
1094,ailbhe,2
1095,barrett,2
1096,introduction,11
1097,charles,2
1098,harper,1
1099,tuesday,108
1100,december,133
1101,music,156
1102,host,220
1103,wife,9
1104,bridie,2
1105,keith,18
1106,wiseman,3
1107,camogie,100
1108,beat,91
1109,templeglantine,6
1110,tournafulla,2
1111,qualify,4
1112,news,795
1113,napiarsaigh,5
1114,cruise,19
1115,club,164
1116,comprehensive,6
1117,victory,49
1118,decent,8
1119,nire,1
1120,waterford,265
1121,gravy,1
1122,watch,174
1123,treehouse,2
1124,herbaceous,1
1125,buzzy,2
1126,later,48
1127,planning,65
1128,hallowe,2
1129,trail,219
1130,build,154
1131,acre,13
1132,outdoor,118
1133,grub,2
1134,tastethehistory,2
1135,westlimerickfd,2
1136,daughter,12
1137,della,1
1138,wear,36
1139,crosse,6
1140,trinitarian,2
1141,cross,61
1142,porch,1
1143,sterlingsilver,2
1144,jewellery,5
1145,woodlandsmemorie,1
1146,easter,41
1147,monday,148
1148,april,125
1149,flanagan,3
1150,select,12
1151,doon,13
1152,situ,14
1153,sporting,6
1154,streaming,3
1155,double,81
1156,header,5
1157,junior,186
1158,cappamore,14
1159,kildimo,7
1160,pallaskenry,21
1161,cappamoregaa,3
1162,kenrydimogaa,2
1163,counselling,1
1164,detail,168
1165,mindfulness,17
1166,period,5
1167,mindfulnesslimerick,1
1168,dethrone,5
1169,rathkealegaa,1
1170,newlywed,8
1171,donal,4
1172,niamh,5
1173,naked,43
1174,cake,41
1175,rollercoaster,1
1176,delighted,69
1177,laurasbakedcreation,17
1178,vaccination,4
1179,centre,536
1180,clare,703
1181,central,29
1182,ideally,2
1183,actually,23
1184,east,72
1185,covid,158
1186,hero,73
1187,brennanadare,1
1188,votetomneville,6
1189,patrickswellns,2
1190,podonovan,27
1191,patrickswellgaa,5
1192,niallcollinstd,7
1193,caoimhe,1
1194,appoint,4
1195,muireann,1
1196,creamer,2
1197,limcamogie,10
1198,business,248
1199,expert,21
1200,programme,123
1201,session,50
1202,network,38
1203,info,90
1204,missed,2
1205,limericksport,188
1206,challenge,56
1207,rekey,2
1208,easy,37
1209,friendly,67
1210,distance,58
1211,download,27
1212,activelimerick,178
1213,ainehill,1
1214,tipp,10
1215,birthday,22
1216,thisisirishfood,6
1217,salesian,3
1218,secondary,9
1219,college,48
1220,western,2
1221,cancer,10
1222,foundation,29
1223,fitzgeralds,1
1224,house,606
1225,ticket,325
1226,available,194
1227,auntylenas,1
1228,sundaymorne,3
1229,praise,2
1230,astonishing,1
1231,last,3
1232,despite,19
1233,human,18
1234,destructive,4
1235,interference,1
1236,tree,501
1237,blessedly,1
1238,insignificant,1
1239,sermon,1
1240,limericklife,6
1241,limerickpost,289
1242,nature,1722
1243,jahc,1
1244,killeedy,3
1245,ballybricken,1
1246,bohermore,1
1247,exciting,71
1248,fitzgerald,29
1249,garden,320
1250,harvest,8
1251,produce,15
1252,organicfood,1
1253,fromfarmtotable,1
1254,irishfood,3
1255,make,116
1256,storyteller,2
1257,unknown,1
1258,builder,1
1259,sadden,2
1260,aside,9
1261,instead,18
1262,flock,2
1263,roam,4
1264,imagine,31
1265,original,18
1266,splendor,3
1267,doorstep,48
1268,excellent,38
1269,honour,45
1270,augusta,2
1271,vivian,1
1272,smith,4
1273,barry,12
1274,edith,1
1275,wyndham,2
1276,quin,2
1277,window,21
1278,erect,14
1279,brother,7
1280,sister,14
1281,windham,1
1282,thomas,71
1283,emily,2
1284,mdccclxxxvi,1
1285,augustinianfriary,1
1286,timmy,2
1287,macs,2
1288,lunchtime,19
1289,table,31
1290,eatlocal,1
1291,attend,76
1292,anniversary,14
1293,dore,1
1294,gráinne,2
1295,coleman,1
1296,eoin,13
1297,ryan,66
1298,hackball,1
1299,james,38
1300,nolan,29
1301,photograph,42
1302,liam,576
1303,burke,7
1304,press,62
1305,assistant,5
1306,officer,9
1307,culture,86
1308,dept,58
1309,thursday,97
1310,creative,57
1311,needle,1
1312,felt,1
1313,prettiest,2
1314,accord,15
1315,multiple,4
1316,publication,7
1317,admirer,1
1318,manicure,3
1319,thatched,1
1320,lavish,3
1321,ltrinireland,1
1322,candidates,2
1323,galvin,6
1324,ruddel,1
1325,head,178
1326,jpphelan,1
1327,senatormbyrne,23
1328,promote,31
1329,directly,8
1330,result,171
1331,liberty,2
1332,garryspillane,2
1333,galbally,29
1334,charleville,16
1335,hurler,95
1336,lixnaw,3
1337,charlevillegaa,1
1338,quota,1
1339,richard,31
1340,donoghue,3
1341,emmett,2
1342,brien,65
1343,kevin,21
1344,sheahan,6
1345,walsh,43
1346,griffin,13
1347,coach,22
1348,galtee,118
1349,mountcollin,4
1350,castlemahon,2
1351,ballysteen,18
1352,ballyhoura,1582
1353,ceramics,13
1354,wise,2
1355,participant,15
1356,beast,4
1357,ballyhourafailte,15
1358,kilfinane,133
1359,moat,10
1360,overlook,28
1361,mountain,341
1362,ancienteastirl,18
1363,wild,122
1364,rate,23
1365,mountainbike,31
1366,amenity,56
1367,limerickedgeembrace,259
1368,xvking,1
1369,zara,1
1370,riverislandpr,1
1371,runner,35
1372,interaction,2
1373,development,155
1374,networking,14
1375,forum,18
1376,kennedy,105
1377,room,614
1378,learn,62
1379,munitymatter,2
1380,sicap,6
1381,ballyhouradev,229
1382,guide,79
1383,turn,113
1384,test,10
1385,blackrock,5
1386,loop,44
1387,ballyhouracountry,125
1388,munstervales,101
1389,pure,36
1390,marathon,19
1391,mmra,8
1392,munstervale,198
1393,vkilfinane,9
1394,safe,80
1395,running,6
1396,tippfood,1
1397,irishfoodmag,1
1398,creedcnw,1
1399,carlow,13
1400,thelittlemilkco,1
1401,laoiscouncil,1
1402,galwaycoco,1
1403,wicklowcoco,1
1404,wdfoodfestival,1
1405,sligofoodtrail,2
1406,farmtourscork,1
1407,opportunity,77
1408,agri,1
1409,provider,2
1410,digital,8
1411,makeover,2
1412,package,5
1413,partner,10
1414,wendigomedia,1
1415,tasteballyhoura,3
1416,spreadtheword,1
1417,education,13
1418,program,7
1419,fountain,57
1420,pool,6
1421,healthyireland,21
1422,healthylimerick,73
1423,possible,30
1424,spin,19
1425,autumnal,22
1426,glenosheen,11
1427,castleoliver,18
1428,miss,137
1429,explore,115
1430,hill,76
1431,bike,219
1432,fresh,34
1433,countryside,43
1434,ceramic,32
1435,nevin,2
1436,maguire,3
1437,excitement,14
1438,limerickfm,1
1439,mountainbiking,4
1440,scenery,38
1441,steep,12
1442,inspire,32
1443,drone,10
1444,kimkardashian,2
1445,ahead,125
1446,border,18
1447,patrol,5
1448,coronavirus,4
1449,rtenationwide,49
1450,rteone,27
1451,followireland,2
1452,drink,37
1453,corkairport,7
1454,hour,279
1455,deeberthsehotel,27
1456,sunrise,41
1457,ballyhouramountain,37
1458,panel,40
1459,discussion,19
1460,informative,10
1461,visitballyhoura,105
1462,common,28
1463,blue,83
1464,butterfly,54
1465,ballyhouraoc,34
1466,biking,22
1467,deal,69
1468,irishtrail,4
1469,meeting,99
1470,brief,25
1471,roll,87
1472,sale,212
1473,ramble,4
1474,outdoors,51
1475,walkingfortheweekend,1
1476,waterproofboot,1
1477,timberland,2
1478,mizenhead,1
1479,hikingireland,1
1480,ballyhouras,61
1481,congrat,53
1482,store,853
1483,mobilejournalism,1
1484,aerial,30
1485,digitaldetox,1
1486,getoutside,1
1487,killamllock,1
1488,healthyfood,1
1489,mrmotivator,1
1490,irishheart,1
1491,safefoodnetwork,1
1492,safefood,3
1493,midweek,5
1494,getaway,5
1495,walking,63
1496,traditional,8
1497,august,236
1498,social,68
1499,croomenterprise,1
1500,cycle,89
1501,view,426
1502,clear,39
1503,laidhedge,17
1504,fruit,21
1505,nest,27
1506,bird,168
1507,irishpollinatorplan,17
1508,virginmedianews,9
1509,virginmedia,2
1510,lfclee,1
1511,visitinishowen,1
1512,inishowennews,1
1513,yesterday,188
1514,root,12
1515,nice,137
1516,healthy,61
1517,chilly,10
1518,seefin,6
1519,myhometown,4
1520,forestwalk,2
1521,flag,37
1522,royal,35
1523,walks,5
1524,knockfierna,11
1525,slievereagh,2
1526,broadfordfairyvillage,1
1527,limerickcouncil,1375
1528,todayinireland,1
1529,abcassin,2
1530,ballyhouraapple,61
1531,wawhour,3
1532,hometown,6
1533,loveglenosheen,1
1534,lough,176
1535,loughgurvisit,102
1536,loughgur,82
1537,castleolivergate,1
1538,ballyorgan,30
1539,background,13
1540,specialmemorie,1
1541,combo,1
1542,technology,64
1543,decal,1
1544,framewrapke,1
1545,trekbike,7
1546,honey,18
1547,monster,3
1548,leenutritionist,1
1549,rideitlikeyoustoleit,1
1550,remedy,1
1551,pork,4
1552,belly,2
1553,mushroom,143
1554,barley,4
1555,broth,2
1556,flavintom,15
1557,lateparent,2
1558,dust,4
1559,sneachta,26
1560,forest,329
1561,biketrail,1
1562,injury,8
1563,recovery,13
1564,bluemonkeypr,6
1565,findyourtrail,2
1566,pádraig,1
1567,casey,16
1568,aidan,10
1569,gleeson,3
1570,chairperson,2
1571,officially,53
1572,inclusion,17
1573,toolkit,5
1574,munitie,8
1575,gorgeous,47
1576,yogawalksireland,1
1577,galtees,14
1578,yoga,15
1579,schedule,12
1580,joan,3
1581,facebook,34
1582,pack,41
1583,sound,50
1584,weird,8
1585,basic,2
1586,wintermode,1
1587,themudhugger,4
1588,specsaver,1
1589,trekfactorydh,1
1590,bontrager,1
